1. allegro/herbert-large-cased,2. intfloat/multilingual-e5-base,3. ipipan/silver-retriever-base-v1.1,4. llama_3_0_embeddings,5. sdadas/polish-roberta-large-v2,best_model,user_type
3,3,3,3,3,1. allegro/herbert-large-cased,"techniczną (programista, Data Scientist, AI specialist lub pokrewne)"
3,3,3,3,3,1. allegro/herbert-large-cased,"techniczną (programista, Data Scientist, AI specialist lub pokrewne)"
